x,y,z,source,class
31,41,51,Accelerometer-2011-06-06-10-08-56-comb_hair-f1.txt,Comb_hair
31,41,51,Accelerometer-2011-06-06-10-08-56-comb_hair-f1.txt,Comb_hair
32,41,52,Accelerometer-2011-06-06-10-08-56-comb_hair-f1.txt,Comb_hair
31,40,51,Accelerometer-2011-06-06-10-08-56-comb_hair-f1.txt,Comb_hair
32,40,52,Accelerometer-2011-06-06-10-08-56-comb_hair-f1.txt,Comb_hair
32,40,51,Accelerometer-2011-06-06-10-08-56-comb_hair-f1.txt,Comb_hair
32,40,51,Accelerometer-2011-06-06-10-08-56-comb_hair-f1.txt,Comb_hair
30,41,51,Accelerometer-2011-06-06-10-08-56-comb_hair-f1.txt,Comb_hair
31,41,51,Accelerometer-2011-06-06-10-08-56-comb_hair-f1.txt,Comb_hair
31,41,51,Accelerometer-2011-06-06-10-08-56-comb_hair-f1.txt,Comb_hair
32,41,51,Accelerometer-2011-06-06-10-08-56-comb_hair-f1.txt,Comb_hair
30,42,52,Accelerometer-2011-06-06-10-08-56-comb_hair-f1.txt,Comb_hair
30,42,51,Accelerometer-2011-06-06-10-08-56-comb_hair-f1.txt,Comb_hair
32,41,51,Accelerometer-2011-06-06-10-08-56-comb_hair-f1.txt,Comb_hair
31,41,51,Accelerometer-2011-06-06-10-08-56-comb_hair-f1.txt,Comb_hair
31,41,51,Accelerometer-2011-06-06-10-08-56-comb_hair-f1.txt,Comb_hair
31,41,51,Accelerometer-2011-06-06-10-08-56-comb_hair-f1.txt,Comb_hair
30,40,51,Accelerometer-2011-06-06-10-08-56-comb_hair-f1.txt,Comb_hair
32,41,51,Accelerometer-2011-06-06-10-08-56-comb_hair-f1.txt,Comb_hair
32,40,51,Accelerometer-2011-06-06-10-08-56-comb_hair-f1.txt,Comb_hair
31,41,51,Accelerometer-2011-06-06-10-08-56-comb_hair-f1.txt,Comb_hair
31,40,52,Accelerometer-2011-06-06-10-08-56-comb_hair-f1.txt,Comb_hair
32,41,51,Accelerometer-2011-06-06-10-08-56-comb_hair-f1.txt,Comb_hair
31,40,51,Accelerometer-2011-06-06-10-08-56-comb_hair-f1.txt,Comb_hair
32,41,51,Accelerometer-2011-06-06-10-08-56-comb_hair-f1.txt,Comb_hair
32,41,51,Accelerometer-2011-06-06-10-08-56-comb_hair-f1.txt,Comb_hair
31,41,51,Accelerometer-2011-06-06-10-08-56-comb_hair-f1.txt,Comb_hair
32,41,52,Accelerometer-2011-06-06-10-08-56-comb_hair-f1.txt,Comb_hair
30,41,51,Accelerometer-2011-06-06-10-08-56-comb_hair-f1.txt,Comb_hair
31,40,52,Accelerometer-2011-06-06-10-08-56-comb_hair-f1.txt,Comb_hair
32,41,52,Accelerometer-2011-06-06-10-08-56-comb_hair-f1.txt,Comb_hair
30,41,52,Accelerometer-2011-06-06-10-08-56-comb_hair-f1.txt,Comb_hair
31,41,51,Accelerometer-2011-06-06-10-08-56-comb_hair-f1.txt,Comb_hair
32,42,51,Accelerometer-2011-06-06-10-08-56-comb_hair-f1.txt,Comb_hair
31,41,52,Accelerometer-2011-06-06-10-08-56-comb_hair-f1.txt,Comb_hair
31,41,52,Accelerometer-2011-06-06-10-08-56-comb_hair-f1.txt,Comb_hair
31,41,52,Accelerometer-2011-06-06-10-08-56-comb_hair-f1.txt,Comb_hair
31,41,51,Accelerometer-2011-06-06-10-08-56-comb_hair-f1.txt,Comb_hair
31,41,51,Accelerometer-2011-06-06-10-08-56-comb_hair-f1.txt,Comb_hair
31,41,51,Accelerometer-2011-06-06-10-08-56-comb_hair-f1.txt,Comb_hair
32,41,52,Accelerometer-2011-06-06-10-08-56-comb_hair-f1.txt,Comb_hair
32,40,52,Accelerometer-2011-06-06-10-08-56-comb_hair-f1.txt,Comb_hair
31,41,51,Accelerometer-2011-06-06-10-08-56-comb_hair-f1.txt,Comb_hair
31,41,52,Accelerometer-2011-06-06-10-08-56-comb_hair-f1.txt,Comb_hair
29,39,52,Accelerometer-2011-06-06-10-08-56-comb_hair-f1.txt,Comb_hair
30,39,52,Accelerometer-2011-06-06-10-08-56-comb_hair-f1.txt,Comb_hair
29,40,53,Accelerometer-2011-06-06-10-08-56-comb_hair-f1.txt,Comb_hair
28,41,53,Accelerometer-2011-06-06-10-08-56-comb_hair-f1.txt,Comb_hair
29,37,54,Accelerometer-2011-06-06-10-08-56-comb_hair-f1.txt,Comb_hair
30,42,55,Accelerometer-2011-06-06-10-08-56-comb_hair-f1.txt,Comb_hair
32,39,54,Accelerometer-2011-06-06-10-08-56-comb_hair-f1.txt,Comb_hair
33,37,49,Accelerometer-2011-06-06-10-08-56-comb_hair-f1.txt,Comb_hair
33,37,44,Accelerometer-2011-06-06-10-08-56-comb_hair-f1.txt,Comb_hair
35,43,44,Accelerometer-2011-06-06-10-08-56-comb_hair-f1.txt,Comb_hair
35,53,42,Accelerometer-2011-06-06-10-08-56-comb_hair-f1.txt,Comb_hair
30,49,41,Accelerometer-2011-06-06-10-08-56-comb_hair-f1.txt,Comb_hair
25,53,49,Accelerometer-2011-06-06-10-08-56-comb_hair-f1.txt,Comb_hair
27,52,48,Accelerometer-2011-06-06-10-08-56-comb_hair-f1.txt,Comb_hair
26,50,46,Accelerometer-2011-06-06-10-08-56-comb_hair-f1.txt,Comb_hair
26,46,46,Accelerometer-2011-06-06-10-08-56-comb_hair-f1.txt,Comb_hair
25,44,47,Accelerometer-2011-06-06-10-08-56-comb_hair-f1.txt,Comb_hair
25,47,49,Accelerometer-2011-06-06-10-08-56-comb_hair-f1.txt,Comb_hair
24,43,47,Accelerometer-2011-06-06-10-08-56-comb_hair-f1.txt,Comb_hair
25,42,47,Accelerometer-2011-06-06-10-08-56-comb_hair-f1.txt,Comb_hair
24,43,48,Accelerometer-2011-06-06-10-08-56-comb_hair-f1.txt,Comb_hair
24,44,48,Accelerometer-2011-06-06-10-08-56-comb_hair-f1.txt,Comb_hair
22,45,45,Accelerometer-2011-06-06-10-08-56-comb_hair-f1.txt,Comb_hair
20,43,45,Accelerometer-2011-06-06-10-08-56-comb_hair-f1.txt,Comb_hair
18,42,46,Accelerometer-2011-06-06-10-08-56-comb_hair-f1.txt,Comb_hair
