x,y,z,source,class
38,40,47,Accelerometer-2011-05-30-09-31-43-descend_stairs-f1.txt,Descend_stairs
39,45,44,Accelerometer-2011-05-30-09-31-43-descend_stairs-f1.txt,Descend_stairs
39,45,44,Accelerometer-2011-05-30-09-31-43-descend_stairs-f1.txt,Descend_stairs
40,45,43,Accelerometer-2011-05-30-09-31-43-descend_stairs-f1.txt,Descend_stairs
41,45,41,Accelerometer-2011-05-30-09-31-43-descend_stairs-f1.txt,Descend_stairs
38,40,40,Accelerometer-2011-05-30-09-31-43-descend_stairs-f1.txt,Descend_stairs
38,40,41,Accelerometer-2011-05-30-09-31-43-descend_stairs-f1.txt,Descend_stairs
36,43,45,Accelerometer-2011-05-30-09-31-43-descend_stairs-f1.txt,Descend_stairs
35,46,47,Accelerometer-2011-05-30-09-31-43-descend_stairs-f1.txt,Descend_stairs
34,51,46,Accelerometer-2011-05-30-09-31-43-descend_stairs-f1.txt,Descend_stairs
34,54,48,Accelerometer-2011-05-30-09-31-43-descend_stairs-f1.txt,Descend_stairs
31,43,45,Accelerometer-2011-05-30-09-31-43-descend_stairs-f1.txt,Descend_stairs
24,56,48,Accelerometer-2011-05-30-09-31-43-descend_stairs-f1.txt,Descend_stairs
26,54,48,Accelerometer-2011-05-30-09-31-43-descend_stairs-f1.txt,Descend_stairs
28,49,46,Accelerometer-2011-05-30-09-31-43-descend_stairs-f1.txt,Descend_stairs
27,48,47,Accelerometer-2011-05-30-09-31-43-descend_stairs-f1.txt,Descend_stairs
27,42,44,Accelerometer-2011-05-30-09-31-43-descend_stairs-f1.txt,Descend_stairs
27,43,40,Accelerometer-2011-05-30-09-31-43-descend_stairs-f1.txt,Descend_stairs
27,44,37,Accelerometer-2011-05-30-09-31-43-descend_stairs-f1.txt,Descend_stairs
25,43,40,Accelerometer-2011-05-30-09-31-43-descend_stairs-f1.txt,Descend_stairs
24,46,41,Accelerometer-2011-05-30-09-31-43-descend_stairs-f1.txt,Descend_stairs
22,43,40,Accelerometer-2011-05-30-09-31-43-descend_stairs-f1.txt,Descend_stairs
21,45,40,Accelerometer-2011-05-30-09-31-43-descend_stairs-f1.txt,Descend_stairs
15,49,40,Accelerometer-2011-05-30-09-31-43-descend_stairs-f1.txt,Descend_stairs
14,47,38,Accelerometer-2011-05-30-09-31-43-descend_stairs-f1.txt,Descend_stairs
14,47,38,Accelerometer-2011-05-30-09-31-43-descend_stairs-f1.txt,Descend_stairs
11,47,37,Accelerometer-2011-05-30-09-31-43-descend_stairs-f1.txt,Descend_stairs
6,49,36,Accelerometer-2011-05-30-09-31-43-descend_stairs-f1.txt,Descend_stairs
2,52,35,Accelerometer-2011-05-30-09-31-43-descend_stairs-f1.txt,Descend_stairs
0,48,28,Accelerometer-2011-05-30-09-31-43-descend_stairs-f1.txt,Descend_stairs
6,45,30,Accelerometer-2011-05-30-09-31-43-descend_stairs-f1.txt,Descend_stairs
11,41,31,Accelerometer-2011-05-30-09-31-43-descend_stairs-f1.txt,Descend_stairs
14,41,32,Accelerometer-2011-05-30-09-31-43-descend_stairs-f1.txt,Descend_stairs
16,42,31,Accelerometer-2011-05-30-09-31-43-descend_stairs-f1.txt,Descend_stairs
18,42,32,Accelerometer-2011-05-30-09-31-43-descend_stairs-f1.txt,Descend_stairs
19,42,32,Accelerometer-2011-05-30-09-31-43-descend_stairs-f1.txt,Descend_stairs
