x,y,z,source,class
36,39,51,Accelerometer-2011-04-11-11-58-30-climb_stairs-f1.txt,Climb_stairs
35,38,51,Accelerometer-2011-04-11-11-58-30-climb_stairs-f1.txt,Climb_stairs
35,36,51,Accelerometer-2011-04-11-11-58-30-climb_stairs-f1.txt,Climb_stairs
35,38,49,Accelerometer-2011-04-11-11-58-30-climb_stairs-f1.txt,Climb_stairs
36,39,51,Accelerometer-2011-04-11-11-58-30-climb_stairs-f1.txt,Climb_stairs
38,38,49,Accelerometer-2011-04-11-11-58-30-climb_stairs-f1.txt,Climb_stairs
37,40,50,Accelerometer-2011-04-11-11-58-30-climb_stairs-f1.txt,Climb_stairs
35,39,50,Accelerometer-2011-04-11-11-58-30-climb_stairs-f1.txt,Climb_stairs
36,38,47,Accelerometer-2011-04-11-11-58-30-climb_stairs-f1.txt,Climb_stairs
34,42,51,Accelerometer-2011-04-11-11-58-30-climb_stairs-f1.txt,Climb_stairs
32,40,49,Accelerometer-2011-04-11-11-58-30-climb_stairs-f1.txt,Climb_stairs
29,36,46,Accelerometer-2011-04-11-11-58-30-climb_stairs-f1.txt,Climb_stairs
29,38,51,Accelerometer-2011-04-11-11-58-30-climb_stairs-f1.txt,Climb_stairs
27,39,51,Accelerometer-2011-04-11-11-58-30-climb_stairs-f1.txt,Climb_stairs
26,37,48,Accelerometer-2011-04-11-11-58-30-climb_stairs-f1.txt,Climb_stairs
22,42,57,Accelerometer-2011-04-11-11-58-30-climb_stairs-f1.txt,Climb_stairs
22,40,55,Accelerometer-2011-04-11-11-58-30-climb_stairs-f1.txt,Climb_stairs
19,40,54,Accelerometer-2011-04-11-11-58-30-climb_stairs-f1.txt,Climb_stairs
21,41,55,Accelerometer-2011-04-11-11-58-30-climb_stairs-f1.txt,Climb_stairs
23,38,52,Accelerometer-2011-04-11-11-58-30-climb_stairs-f1.txt,Climb_stairs
23,37,51,Accelerometer-2011-04-11-11-58-30-climb_stairs-f1.txt,Climb_stairs
24,37,52,Accelerometer-2011-04-11-11-58-30-climb_stairs-f1.txt,Climb_stairs
25,36,49,Accelerometer-2011-04-11-11-58-30-climb_stairs-f1.txt,Climb_stairs
24,36,49,Accelerometer-2011-04-11-11-58-30-climb_stairs-f1.txt,Climb_stairs
25,37,49,Accelerometer-2011-04-11-11-58-30-climb_stairs-f1.txt,Climb_stairs
24,37,50,Accelerometer-2011-04-11-11-58-30-climb_stairs-f1.txt,Climb_stairs
23,38,50,Accelerometer-2011-04-11-11-58-30-climb_stairs-f1.txt,Climb_stairs
24,38,50,Accelerometer-2011-04-11-11-58-30-climb_stairs-f1.txt,Climb_stairs
24,37,49,Accelerometer-2011-04-11-11-58-30-climb_stairs-f1.txt,Climb_stairs
23,37,49,Accelerometer-2011-04-11-11-58-30-climb_stairs-f1.txt,Climb_stairs
22,38,51,Accelerometer-2011-04-11-11-58-30-climb_stairs-f1.txt,Climb_stairs
20,39,50,Accelerometer-2011-04-11-11-58-30-climb_stairs-f1.txt,Climb_stairs
21,38,52,Accelerometer-2011-04-11-11-58-30-climb_stairs-f1.txt,Climb_stairs
20,41,53,Accelerometer-2011-04-11-11-58-30-climb_stairs-f1.txt,Climb_stairs
18,41,50,Accelerometer-2011-04-11-11-58-30-climb_stairs-f1.txt,Climb_stairs
17,40,50,Accelerometer-2011-04-11-11-58-30-climb_stairs-f1.txt,Climb_stairs
17,41,50,Accelerometer-2011-04-11-11-58-30-climb_stairs-f1.txt,Climb_stairs
14,42,47,Accelerometer-2011-04-11-11-58-30-climb_stairs-f1.txt,Climb_stairs
14,41,45,Accelerometer-2011-04-11-11-58-30-climb_stairs-f1.txt,Climb_stairs
14,44,45,Accelerometer-2011-04-11-11-58-30-climb_stairs-f1.txt,Climb_stairs
13,41,43,Accelerometer-2011-04-11-11-58-30-climb_stairs-f1.txt,Climb_stairs
16,42,41,Accelerometer-2011-04-11-11-58-30-climb_stairs-f1.txt,Climb_stairs
15,40,42,Accelerometer-2011-04-11-11-58-30-climb_stairs-f1.txt,Climb_stairs
16,41,41,Accelerometer-2011-04-11-11-58-30-climb_stairs-f1.txt,Climb_stairs
16,42,41,Accelerometer-2011-04-11-11-58-30-climb_stairs-f1.txt,Climb_stairs
17,41,41,Accelerometer-2011-04-11-11-58-30-climb_stairs-f1.txt,Climb_stairs
18,39,42,Accelerometer-2011-04-11-11-58-30-climb_stairs-f1.txt,Climb_stairs
